,random_face_number,image_name,face_tensor,auto_gender
0,0,posts\mortendahlin\pic_24.jpeg,"tensor([427.2239, 228.5482, 467.4466, 280.0762])",Man
1,1,posts\ullatornaes\pic_58.jpeg,"tensor([408.2204,   6.2747, 439.5296,  50.9748])",Man
2,2,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([292.6525, 291.8512, 331.4240, 342.0738])",Woman
3,3,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([ 39.6454, 232.8243,  86.8426, 287.4897])",Woman
4,4,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([504.1330, 307.5060, 539.2911, 354.8126])",Man
5,5,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([ 73.8721, 152.0673, 103.0312, 187.1326])",Woman
6,6,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([615.8792, 264.3316, 634.8263, 291.5282])",Man
7,7,posts\susannezimmerfriegronne\pic_143.jpeg,"tensor([508.8154, 248.8293, 523.6265, 268.7783])",Woman
8,8,posts\kristianthulesendahl\pic_66.jpeg,"tensor([415.3851, 310.2534, 476.5227, 390.0230])",Woman
9,9,posts\kristianthulesendahl\pic_66.jpeg,"tensor([134.0567, 270.6802, 190.1788, 336.7215])",Woman
10,10,posts\kristianthulesendahl\pic_66.jpeg,"tensor([  1.1705, 326.2888,  71.6246, 465.7729])",Man
11,11,posts\charlottemolbaek\pic_105.jpeg,"tensor([233.6118, 107.0301, 343.9009, 258.9856])",Woman
12,12,posts\alexvanopslagh\pic_9.jpeg,"tensor([321.6740,  20.8692, 405.8033, 129.5837])",Man
13,13,posts\idaauken\pic_17.jpeg,"tensor([225.6642, 200.6622, 306.7594, 304.3347])",Man
14,14,posts\havorla\pic_23.jpeg,"tensor([416.7144,  55.8950, 540.2947, 206.6217])",Woman
15,15,posts\havorla\pic_23.jpeg,"tensor([326.1844,  37.1737, 398.8258, 142.8143])",Man
16,16,posts\havorla\pic_23.jpeg,"tensor([ 98.2607, 109.3363, 137.2749, 161.6111])",Woman
17,17,posts\havorla\pic_23.jpeg,"tensor([ 26.6619, 128.7408,  48.8261, 157.5149])",Man
18,18,posts\havorla\pic_23.jpeg,"tensor([176.0593, 140.9923, 221.5920, 204.8018])",Man
19,19,posts\havorla\pic_23.jpeg,"tensor([ 67.4456, 126.5449,  90.1456, 158.9913])",Man
20,20,posts\kaaredybvad\pic_31.jpeg,"tensor([386.2299, 229.6400, 512.2171, 388.3893])",Woman
21,21,posts\kaaredybvad\pic_31.jpeg,"tensor([159.4971,  60.1064, 297.0982, 258.4092])",Man
22,22,posts\sophieloehde\pic_35.jpeg,"tensor([265.5221,  57.3596, 345.9165, 166.3466])",Woman
23,23,posts\juulmona\pic_5.jpeg,"tensor([214.6841, 109.7190, 361.9305, 303.7593])",Woman
24,24,posts\kaspersandkjaer\pic_0.jpeg,"tensor([190.3450, 392.7595, 420.4775, 679.2368])",Man
25,25,posts\kaspersandkjaer\pic_0.jpeg,"tensor([ 25.6063, 581.1976,  51.7059, 614.4711])",Woman
26,26,posts\kathrineolldag\pic_65.jpeg,"tensor([256.5311, 284.2188, 341.0663, 393.3157])",Woman
27,27,posts\kathrineolldag\pic_65.jpeg,"tensor([ 22.7554, 234.2112, 102.7971, 336.7122])",Woman
28,28,posts\victoria.r.velasquez\pic_49.jpeg,"tensor([215.9926,  61.0184, 402.8116, 317.4289])",Woman
29,29,posts\samiranawa\pic_6.jpeg,"tensor([526.7642, 293.7998, 614.5099, 402.0017])",Man
30,30,posts\samiranawa\pic_6.jpeg,"tensor([ 44.9181, 348.5850, 108.3029, 424.5013])",Woman
31,31,posts\samiranawa\pic_6.jpeg,"tensor([317.1110, 237.1084, 356.5146, 288.0174])",Woman
32,32,posts\astridkrag\pic_159.jpeg,"tensor([237.2146,  87.2337, 322.3743, 205.3177])",Man
33,33,posts\mogensjensen\pic_2.jpeg,"tensor([220.3878, 211.9655, 331.3053, 379.1843])",Man
34,34,posts\zenia.stampe\pic_6.jpeg,"tensor([174.0673,  57.1401, 381.7221, 372.6301])",Man
35,35,posts\peterhummelgaard\pic_21.jpeg,"tensor([255.5094, 378.2825, 388.4358, 535.9166])",Man
36,36,posts\peterhummelgaard\pic_21.jpeg,"tensor([231.5017,  50.6321, 370.2378, 225.6257])",Man
37,37,posts\bertel.haarder\pic_2.jpeg,"tensor([309.9847, 167.9651, 517.4352, 437.3062])",Woman
38,38,posts\kommune_rune\pic_0.jpeg,"tensor([ 35.7673,  84.3878, 151.3741, 246.1296])",Man
39,39,posts\kommune_rune\pic_0.jpeg,"tensor([479.2572, 445.1372, 631.7259, 649.8271])",Woman
40,40,posts\brigitte_klintskov_jerkel\pic_65.jpeg,"tensor([249.4770, 118.6175, 517.1658, 492.6328])",Woman
41,41,posts\lise_bech\pic_21.jpeg,"tensor([248.9049, 150.6721, 413.8073, 342.1523])",Woman
42,42,posts\christian.rabjerg\pic_21.jpeg,"tensor([311.2403,   4.2975, 439.9268, 158.9341])",Woman
43,43,posts\christian.rabjerg\pic_21.jpeg,"tensor([158.9632,  92.2818, 214.0547, 167.5602])",Man
44,44,posts\christian.rabjerg\pic_21.jpeg,"tensor([325.5603, 287.3740, 369.2137, 342.2952])",Man
45,45,posts\christian.rabjerg\pic_21.jpeg,"tensor([376.6352, 318.3174, 416.6303, 363.5651])",Man
