,random_image_number,image_name,auto_people
0,0,posts\annepaulin\pic_5.jpeg,1
1,1,posts\mortendahlin\pic_24.jpeg,3
2,2,posts\peter_seier_christensen\pic_12.jpeg,0
3,3,posts\evaflyvholm_enhedslisten\pic_0.jpeg,0
4,4,posts\ullatornaes\pic_58.jpeg,1
5,5,posts\stojberginger\pic_12.jpeg,0
6,6,posts\ftmktm\pic_56.jpeg,0
7,7,posts\rasmus_jarlov\pic_19.jpeg,1
8,8,posts\fabricius.camilla\pic_176.jpeg,0
9,9,posts\lind_annette\pic_12.jpeg,0
10,10,posts\elbaekuffe\pic_39.jpeg,1
11,11,posts\susannezimmerfriegronne\pic_143.jpeg,6
12,12,posts\stinus.lindgreen\pic_14.jpeg,0
13,13,posts\kristianthulesendahl\pic_66.jpeg,3
14,14,posts\alexvanopslagh\pic_31.jpeg,0
15,15,posts\charlottemolbaek\pic_105.jpeg,1
16,16,posts\alexvanopslagh\pic_9.jpeg,1
17,17,posts\torstenschackpedersen\pic_35.jpeg,0
18,18,posts\idaauken\pic_17.jpeg,1
19,19,posts\havorla\pic_23.jpeg,6
20,20,posts\alexvanopslagh\pic_24.jpeg,2
21,21,posts\evakjerhansen\pic_32.jpeg,0
22,22,posts\annepaulin\pic_1.jpeg,1
23,23,posts\karen.ellemann\pic_7.jpeg,0
24,24,posts\kaaredybvad\pic_31.jpeg,2
25,25,posts\sophieloehde\pic_35.jpeg,1
26,26,posts\rnordqvist\pic_4.jpeg,0
27,27,posts\ftmktm\pic_108.jpeg,0
28,28,posts\juulmona\pic_5.jpeg,1
29,29,posts\sofiecarstennielsen\pic_208.jpeg,0
30,30,posts\kaspersandkjaer\pic_0.jpeg,2
31,31,posts\kathrineolldag\pic_65.jpeg,2
32,32,posts\mortenbodskov\pic_38.jpeg,0
33,33,posts\victoria.r.velasquez\pic_49.jpeg,1
34,34,posts\annesophie.radikale\pic_17.jpeg,0
35,35,posts\samiranawa\pic_6.jpeg,4
36,36,posts\sossepernille\pic_22.jpeg,0
37,37,posts\annimatthiesen\pic_38.jpeg,0
38,38,posts\kathrineolldag\pic_48.jpeg,0
39,39,posts\astridkrag\pic_159.jpeg,1
40,40,posts\j.h.thulesen.dahl\pic_4.jpeg,0
41,41,posts\idaauken\pic_1.jpeg,1
42,42,posts\mogensjensen\pic_2.jpeg,1
43,43,posts\zenia.stampe\pic_6.jpeg,1
44,44,posts\peterhummelgaard\pic_21.jpeg,2
45,45,posts\bertel.haarder\pic_2.jpeg,2
46,46,posts\kommune_rune\pic_0.jpeg,2
47,47,posts\brigitte_klintskov_jerkel\pic_65.jpeg,1
48,48,posts\lise_bech\pic_21.jpeg,1
49,49,posts\christian.rabjerg\pic_21.jpeg,6
50,50,posts\olebirkolesen\pic_41.jpeg,0
51,51,posts\rasmus_jarlov\pic_16.jpeg,1
52,52,posts\sophieloehde\pic_40.jpeg,1
53,53,posts\danj.klimaminister\pic_179.jpeg,7
54,54,posts\mattiastesfaye\pic_2.jpeg,0
55,55,posts\havorla\pic_12.jpeg,0
56,56,posts\peter_seier_christensen\pic_86.jpeg,0
57,57,posts\kirstennormann\pic_6.jpeg,1
58,58,posts\torstenschackpedersen\pic_15.jpeg,1
59,59,posts\susannezimmerfriegronne\pic_96.jpeg,0
60,60,posts\tommyahlers\pic_9.jpeg,1
61,61,posts\fabricius.camilla\pic_68.jpeg,0
62,62,posts\fabricius.camilla\pic_49.jpeg,0
63,63,posts\mattiastesfaye\pic_0.jpeg,0
64,64,posts\larsloekke\pic_2.jpeg,1
65,65,posts\liselottblixt\pic_224.jpeg,1
66,66,posts\charlottemolbaek\pic_48.jpeg,1
67,67,posts\piakjaersgaard1\pic_62.jpeg,0
68,68,posts\naserkhaderdk\pic_0.jpeg,0
69,69,posts\lisbethbp\pic_66.jpeg,0
70,70,posts\heidibank\pic_15.jpeg,3
71,71,posts\dennisflydtkjaer1\pic_18.jpeg,3
72,72,posts\lars_aslan\pic_49.jpeg,0
73,73,posts\mortenbodskov\pic_18.jpeg,0
74,74,posts\tommyahlers\pic_43.jpeg,0
75,75,posts\danj.klimaminister\pic_122.jpeg,0
76,76,posts\bbbrandenborg\pic_5.jpeg,1
77,77,posts\havorla\pic_21.jpeg,0
78,78,posts\j.h.thulesen.dahl\pic_3.jpeg,0
79,79,posts\havorla\pic_5.jpeg,0
80,80,posts\birgittebergman\pic_28.jpeg,0
81,81,posts\larsbojemathiesen\pic_12.jpeg,1
82,82,posts\victoria.r.velasquez\pic_64.jpeg,3
83,83,posts\ftmktm\pic_130.jpeg,1
84,84,posts\ftmktm\pic_121.jpeg,8
85,85,posts\denhenrikdahl\pic_3.jpeg,1
86,86,posts\sikandarsiddique_\pic_67.jpeg,1
87,87,posts\denhenrikdahl\pic_13.jpeg,0
88,88,posts\victoria.r.velasquez\pic_77.jpeg,1
89,89,posts\astridcaroe\pic_7.jpeg,0
90,90,posts\akimati\pic_21.jpeg,2
91,91,posts\martinr.geertsen\pic_9.jpeg,0
92,92,posts\marleneambo\pic_12.jpeg,1
93,93,posts\mogensjensen\pic_79.jpeg,1
94,94,posts\traktortroels\pic_26.jpeg,2
95,95,posts\jacobjensen_venstre\pic_16.jpeg,4
96,96,posts\lars_aslan\pic_12.jpeg,0
97,97,posts\nikolajvillumsen\pic_71.jpeg,1
98,98,posts\mariebjerre.dk\pic_27.jpeg,1
99,99,posts\mette.abildgaard\pic_33.jpeg,1
100,100,posts\mette.thiesen\pic_18.jpeg,1
101,101,posts\sofiecarstennielsen\pic_92.jpeg,0
102,102,posts\fugledemads\pic_20.jpeg,0
103,103,posts\havorla\pic_6.jpeg,10
104,104,posts\mariebjerre.dk\pic_49.jpeg,1
105,105,posts\louise_elholm\pic_24.jpeg,1
106,106,posts\lind_annette\pic_21.jpeg,4
107,107,posts\pernillevermund\pic_125.jpeg,0
108,108,posts\katrinerobsoe\pic_52.jpeg,1
109,109,posts\andreas.steenberg\pic_88.jpeg,0
110,110,posts\lars_chr_lilleholt\pic_9.jpeg,0
111,111,posts\akimati\pic_18.jpeg,2
112,112,posts\lisbethbp\pic_23.jpeg,2
113,113,posts\lorentzenkristian\pic_6.jpeg,1
114,114,posts\khegaard\pic_52.jpeg,0
115,115,posts\sjurdurskaale\pic_51.jpeg,0
116,116,posts\zenia.stampe\pic_111.jpeg,1
117,117,posts\kirstennormann\pic_1.jpeg,1
118,118,posts\heidibank\pic_30.jpeg,1
119,119,posts\rasmusprehn\pic_97.jpeg,1
120,120,posts\janeheitmann\pic_3.jpeg,0
121,121,posts\havorla\pic_15.jpeg,0
122,122,posts\maimercado_dk\pic_37.jpeg,3
123,123,posts\kathrineolldag\pic_44.jpeg,2
124,124,posts\samiranawa\pic_51.jpeg,1
125,125,posts\magnusheunicke\pic_103.jpeg,1
126,126,posts\akimati\pic_35.jpeg,0
127,127,posts\evakjerhansen\pic_35.jpeg,3
128,128,posts\elbaekuffe\pic_37.jpeg,0
129,129,posts\rosa_lund\pic_23.jpeg,8
130,130,posts\mettedencker\pic_19.jpeg,2
131,131,posts\jerohde\pic_13.jpeg,2
132,132,posts\astridcaroe\pic_24.jpeg,2
133,133,posts\evakjerhansen\pic_31.jpeg,1
134,134,posts\jacobmarkfolketinget\pic_33.jpeg,0
